portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2021-10-01,2021-10-01,2021-10-04,2021-10-01,2021-10-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2021-11-01,2021-11-01,2021-11-02,2021-11-01,2021-11-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2021-12-01,2021-12-01,2021-12-02,2021-12-01,2021-12-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-02-01,2022-02-01,2022-02-02,2022-02-01,2022-02-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-03-01,2022-03-01,2022-03-02,2022-03-01,2022-03-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-07-01,2022-07-01,2022-07-05,2022-07-01,2022-07-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-08-01,2022-08-01,2022-08-02,2022-08-01,2022-08-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-09-01,2022-09-01,2022-09-02,2022-09-01,2022-09-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-10-01,2022-10-03,2022-10-04,2022-10-03,2022-10-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-11-01,2022-11-01,2022-11-02,2022-11-01,2022-11-02,expanded_fallback,f
