name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン白虎-激攻,2023-12,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,0.1397250597,0.0139293730036531,0.1257956866963469
シン白虎-鉄壁,2012-03,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0249247395,0.1423586091738038,0.1672833486738038
シン白虎-鉄壁,2012-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0032973073,0.0408770877770943,0.0375797804770943
シン白虎-鉄壁,2012-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0575461294,0.1304606111281481,0.0729144817281481
シン白虎-鉄壁,2012-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0531350996,0.0421953543119997,0.010939745288000298
シン白虎-鉄壁,2012-10,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.0336168344,-0.1530081465581976,0.11939131215819762
シン白虎-鉄壁,2012-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.0054484711,0.0364755738226394,0.041924044922639396
シン白虎-鉄壁,2012-12,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.0157726513,0.027968032428465,0.043740683728465
シン白虎-鉄壁,2018-04,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.0109592335,-0.0038205877556309,0.0147798212556309
シン白虎-鉄壁,2018-05,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.1963255827,0.2332321520795759,0.0369065693795759
シン白虎-鉄壁,2018-06,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,-0.017475735,-0.0589708243262068,0.041495089326206804
シン白虎-鉄壁,2018-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.1139059057,0.105181952338105,0.008723953361895007
シン白虎-鉄壁,2018-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.155967635,0.1641470803966527,0.008179445396652718
シン白虎-鉄壁,2018-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.0115811826,0.0169334487365315,0.005352266136531499
シン白虎-鉄壁,2019-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,0.0065369461,0.0306166184648988,0.024079672364898802
シン白虎-鉄壁,2019-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,0.0946987518,-0.0982587702636369,0.1929575220636369
